Feature Type,Window Size,Step Size,Components Slow,Mixtures Slow,Components Fast,Mixtures Fast,Covariance Type,Mean Accuracy,Standard Deviation,Max Accuracy,Min Accuracy,True Positives,False Positives,True Negatives,False Negatives,Precision,Recall,F1 Score
Relevant Features,3s,3s,1,2,1,2,diag,0.50359375,0.0188033817649541,0.609375,0.4375,62.0,34.0,55.0,41.0,0.6458333333333334,0.6019417475728155,0.6231155778894473
Relevant Features,3s,3s,1,2,1,2,spherical,0.5043229166666666,0.0368436115820602,0.609375,0.4270833333333333,46.0,50.0,71.0,25.0,0.4791666666666667,0.647887323943662,0.5508982035928144
Relevant Features,3s,3s,1,2,1,3,full,,,,,,,,,,,
Relevant Features,3s,3s,1,2,1,3,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,2,1,3,spherical,0.4939583333333333,0.0312128251106638,0.5885416666666666,0.421875,63.0,33.0,50.0,46.0,0.65625,0.5779816513761468,0.6146341463414634
Relevant Features,3s,3s,1,2,1,4,full,,,,,,,,,,,
Relevant Features,3s,3s,1,2,1,4,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,2,1,4,spherical,0.4969791666666666,0.024308804346368,0.5520833333333334,0.4270833333333333,73.0,23.0,33.0,63.0,0.7604166666666666,0.5367647058823529,0.6293103448275862
Relevant Features,3s,3s,1,2,2,1,full,,,,,,,,,,,
Relevant Features,3s,3s,1,2,2,1,diag,0.50484375,0.019140252972575,0.5989583333333334,0.4635416666666667,54.0,42.0,61.0,35.0,0.5625,0.6067415730337079,0.5837837837837837
Relevant Features,3s,3s,1,2,2,1,spherical,0.5055729166666667,0.0331149667063893,0.609375,0.4270833333333333,52.0,44.0,65.0,31.0,0.5416666666666666,0.6265060240963856,0.5810055865921787
Relevant Features,3s,3s,1,2,2,2,full,,,,,,,,,,,
Relevant Features,3s,3s,1,2,2,2,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,2,2,2,spherical,,,,,,,,,,,
Relevant Features,3s,3s,1,2,2,3,full,,,,,,,,,,,
Relevant Features,3s,3s,1,2,2,3,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,2,2,3,spherical,,,,,,,,,,,
Relevant Features,3s,3s,1,2,2,4,full,,,,,,,,,,,
Relevant Features,3s,3s,1,2,2,4,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,2,2,4,spherical,,,,,,,,,,,
Relevant Features,3s,3s,1,2,3,1,full,,,,,,,,,,,
Relevant Features,3s,3s,1,2,3,1,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,2,3,1,spherical,0.4949479166666666,0.02954970763568,0.5729166666666666,0.421875,74.0,22.0,36.0,60.0,0.7708333333333334,0.5522388059701493,0.6434782608695653
Relevant Features,3s,3s,1,2,3,2,full,,,,,,,,,,,
Relevant Features,3s,3s,1,2,3,2,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,2,3,2,spherical,,,,,,,,,,,
Relevant Features,3s,3s,1,2,3,3,full,,,,,,,,,,,
Relevant Features,3s,3s,1,2,3,3,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,2,3,3,spherical,,,,,,,,,,,
Relevant Features,3s,3s,1,2,3,4,full,,,,,,,,,,,
Relevant Features,3s,3s,1,2,3,4,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,2,3,4,spherical,,,,,,,,,,,
Relevant Features,3s,3s,1,2,4,1,full,,,,,,,,,,,
Relevant Features,3s,3s,1,2,4,1,diag,,,,,,,,,,,
