TOT,Latent Space,Jump,Components Slow,Mixtures Slow,Components Fast,Mixtures Fast,Covariance Type,Mean Accuracy,Standard Deviation,Max Accuracy,Min Accuracy,True Positives,False Positives,True Negatives,False Negatives,Precision,Recall,F1 Score
3,True,0.5,2,3,2,2,Diagonal,0.5577777777777778,0.0574672461266545,0.7530864197530864,0.382716049382716,17.0,16.0,44.0,4.0,0.5151515151515151,0.8095238095238095,0.6296296296296297
3,True,0.5,3,2,2,2,Full,0.5437037037037037,0.0477163288765711,0.7283950617283951,0.419753086419753,16.0,17.0,43.0,5.0,0.4848484848484848,0.7619047619047619,0.5925925925925926
3,True,0.1,2,4,2,3,Spherical,0.5859259259259259,0.0446981783214064,0.7283950617283951,0.4444444444444444,15.0,18.0,44.0,4.0,0.4545454545454545,0.7894736842105263,0.5769230769230769
3,True,0.5,1,4,1,4,Spherical,0.5219753086419754,0.0570600135432605,0.7160493827160493,0.4074074074074074,18.0,15.0,40.0,8.0,0.5454545454545454,0.6923076923076923,0.6101694915254238
3,True,0.5,3,3,3,3,Spherical,0.5427160493827161,0.0560042239354588,0.7160493827160493,0.419753086419753,25.0,8.0,33.0,15.0,0.7575757575757576,0.625,0.6849315068493151
3,True,0.5,4,4,4,3,Spherical,0.5213580246913581,0.0468763660066166,0.7160493827160493,0.4320987654320987,16.0,17.0,42.0,6.0,0.4848484848484848,0.7272727272727273,0.5818181818181818
3,True,0.1,4,2,3,2,Spherical,0.5907407407407407,0.042851245411873,0.7160493827160493,0.4938271604938271,18.0,15.0,40.0,8.0,0.5454545454545454,0.6923076923076923,0.6101694915254238
3,True,0.5,3,2,2,2,Diagonal,0.5541975308641974,0.0497791188825807,0.7160493827160493,0.3950617283950617,10.0,23.0,48.0,0.0,0.303030303030303,1.0,0.4651162790697675
3,True,1.0,3,3,3,3,Spherical,0.5404938271604938,0.051396590458369,0.7160493827160493,0.4074074074074074,21.0,12.0,37.0,11.0,0.6363636363636364,0.65625,0.6461538461538462
3,True,1.0,3,4,4,3,Spherical,0.5506172839506172,0.0490731034922266,0.7160493827160493,0.4320987654320987,22.0,11.0,36.0,12.0,0.6666666666666666,0.6470588235294118,0.6567164179104478
