TOT,Feature Type,Window Size,Step Size,Components Slow,Mixtures Slow,Components Fast,Mixtures Fast,Covariance Type,Mean Accuracy,Standard Deviation,Max Accuracy,Min Accuracy,True Positives,False Positives,True Negatives,False Negatives,Precision,Recall,F1 Score
3,Relevant Features,3.0,3.0,1,1,1,1,Full,0.6298765432098766,0.0390787058671104,0.7283950617283951,0.5432098765432098,19.0,14.0,40.0,8.0,0.5757575757575758,0.7037037037037037,0.6333333333333334
3,Relevant Features,0.1,0.1,2,1,2,1,Diagonal,0.5538271604938272,0.0552397057164416,0.7283950617283951,0.4074074074074074,23.0,10.0,36.0,12.0,0.696969696969697,0.6571428571428571,0.676470588235294
3,Relevant Features,0.1,0.1,4,1,2,2,Spherical,0.5395061728395061,0.0527118568894054,0.7283950617283951,0.4320987654320987,22.0,11.0,37.0,11.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
3,Relevant Features,0.1,0.1,4,3,2,4,Spherical,0.5471604938271605,0.0524910629563844,0.7283950617283951,0.4074074074074074,21.0,12.0,38.0,10.0,0.6363636363636364,0.6774193548387096,0.65625
3,Relevant Features,0.5,0.5,2,3,4,1,Spherical,0.5596296296296296,0.0491368881324318,0.7283950617283951,0.4444444444444444,19.0,14.0,40.0,8.0,0.5757575757575758,0.7037037037037037,0.6333333333333334
3,Relevant Features,0.5,0.5,2,1,1,4,Spherical,0.5316049382716048,0.0531243045984054,0.7283950617283951,0.4320987654320987,24.0,9.0,35.0,13.0,0.7272727272727273,0.6486486486486487,0.6857142857142857
3,Relevant Features,1.0,1.0,1,1,1,1,Full,0.6044444444444445,0.0486024781673896,0.7283950617283951,0.4567901234567901,22.0,11.0,37.0,11.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
3,Relevant Features,1.0,0.5,1,1,1,1,Full,0.6034567901234568,0.0486451086287931,0.7160493827160493,0.4814814814814814,19.0,14.0,39.0,9.0,0.5757575757575758,0.6785714285714286,0.6229508196721312
3,Relevant Features,3.0,1.0,1,3,2,1,Spherical,0.5720987654320987,0.0441423201610751,0.7160493827160493,0.4567901234567901,20.0,13.0,38.0,10.0,0.6060606060606061,0.6666666666666666,0.6349206349206349
3,Relevant Features,0.1,0.1,1,1,1,1,Full,0.6028395061728395,0.0451944603581677,0.7160493827160493,0.4691358024691358,23.0,10.0,35.0,13.0,0.696969696969697,0.6388888888888888,0.6666666666666666
